"";"ID_PEDIDO";"PEDDTBAIXA";"CLICODIGO";"GCLCODIGO";"SETOR";"PROCODIGO";"PDPDESCRICAO";"PEDAUTORIZOU";"QTD";"VRVENDA";"BONUS"
"83";13385651;2023-06-02;168;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD0779        ";"VARILUX LIBERTY 360 3.0 ORMA TGEN8 CINZA";"DAIANA";2;802,4;70
"84";13385652;2023-06-02;168;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD0782        ";"VARILUX LIBERTY 360 3.0 AIR TGEN8 CINZA BLUE UV";"DAIANA";2;914,4;70
"85";13385653;2023-06-01;168;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD0779        ";"VARILUX LIBERTY 360 3.0 ORMA TGEN8 CINZA";"DAIANA";2;802,4;70
"86";13386549;2023-06-02;1104;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD0491        ";"VARILUX X DESIGN AIRWEAR TGEN8 CINZA";"ELIANE";2;1187,28;100
"87";13386869;2023-06-05;826;NA;"SETOR 2 - CRICIUMA - SUL";"LD1643        ";"KODAK UNIQUE UHD 1.50 TGEN8 CINZA";NA;2;581,4;50
"88";13387732;2023-06-02;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1643        ";"KODAK UNIQUE UHD 1.50 TGEN8 CINZA";"BERNARDO";2;453,15;50
"89";13389802;2023-06-06;290;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD0526        ";"VARILUX X DESIGN ORMA TGEN8 CINZA";"GERVASIO";2;1140,3;100
"90";13389848;2023-06-05;1264;NA;"SETOR 5 - BLUMENAU - VALE";"LD1658        ";"KODAK PRECISE UHD SHORT 1.50 TGEN8 CINZA";"MARCELO";2;422,97;50
"91";13390563;2023-06-13;1949;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD1278        ";"VARILUX COMFORT MAX ORM TGEN8 CIN";"DEBORA";2;641,55;70
"92";13391397;2023-06-07;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1649        ";"KODAK NETWORK UHD 1.50 TGEN8 CINZA";NA;2;427,9;50
"93";13392983;2023-06-07;1949;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD1649        ";"KODAK NETWORK UHD 1.50 TGEN8 CINZA";"DEBORA";2;529,04;50
"94";13392994;2023-06-07;826;NA;"SETOR 2 - CRICIUMA - SUL";"LD1643        ";"KODAK UNIQUE UHD 1.50 TGEN8 CINZA";"32730484";2;581,4;50
"95";13394392;2023-06-05;450;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1653        ";"KODAK NETWORK UHD POLY TGEN8 CINZA";"SONIA";2;575,52;50
"96";13395494;2023-06-12;290;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD0085        ";"VARILUX E DESIGN ORMA TGEN8 CINZA";"GERVASIO";2;482,65;100
"97";13396708;2023-06-09;654;195;"SETOR 2 - CRICIUMA - SUL";"LD1533        ";"ESSILOR EYEZEN START AIR TGEN8 CINZA";"ALESSANDRA";2;738,72;50
"98";13396775;2023-06-07;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1634        ";"KODAK PRECISE UHD 1.50 TGEN8 CINZA";"BERNARDO";2;360,93;50
"99";13397063;2023-06-07;453;185;"SETOR 3 - CHAPECO - OESTE - RS";"LD1634        ";"KODAK PRECISE UHD 1.50 TGEN8 CINZA";"PAMELA";2;422,97;50
"100";13397252;2023-06-13;129;148;"SETOR 5 - BLUMENAU - VALE";"LD1279        ";"VARILUX COMFORT MAX ORM TGEN8 VER";"STEFANIE";2;818,74;70
"101";13397453;2023-06-06;1264;NA;"SETOR 5 - BLUMENAU - VALE";"LD1634        ";"KODAK PRECISE UHD 1.50 TGEN8 CINZA";"CLEIZE";2;422,97;50
"102";13397745;2023-06-07;1104;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1285        ";"VARILUX COMFORT MAX AIR TGEN8";"ELIANE";2;926,16;70
"103";13398680;2023-06-12;290;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD0491        ";"VARILUX X DESIGN AIRWEAR TGEN8 CINZA";"GERVASIO";2;1222,2;100
"104";13400474;2023-06-12;1752;NA;"SETOR 7 - FLORIANOPOLIS  LOJAS";"LP0282        ";"VARILUX LIBERTY ORMA TGEN8 CINZA";"TERE";2;730,5;60
"105";13400752;2023-06-12;1752;NA;"SETOR 7 - FLORIANOPOLIS  LOJAS";"LP0282        ";"VARILUX LIBERTY ORMA TGEN8 CINZA";"TERE";2;730,5;60
"106";13400862;2023-06-14;453;185;"SETOR 3 - CHAPECO - OESTE - RS";"LP0287        ";"VARILUX LIBERTY AIRWEAR TGEN8 CINZA";"PAMELA";2;864,88;60
"107";13401602;2023-06-09;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1649        ";"KODAK NETWORK UHD 1.50 TGEN8 CINZA";NA;2;427,9;50
"108";13401673;2023-06-09;290;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD1649        ";"KODAK NETWORK UHD 1.50 TGEN8 CINZA";"GERVASIO";2;700,2;50
"109";13401953;2023-06-09;290;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD0779        ";"VARILUX LIBERTY 360 3.0 ORMA TGEN8 CINZA";"GERVASIO";2;702,1;70
"110";13402779;2023-06-12;1264;NA;"SETOR 5 - BLUMENAU - VALE";"LD1636        ";"KODAK PRECISE UHD 1.67 TGEN8 CINZA";"NATTAHCHA ";2;1001,25;50
"111";13402838;2023-06-14;3338;NA;"SETOR 7 - FLORIANOPOLIS  LOJAS";"LD1278        ";"VARILUX COMFORT MAX ORM TGEN8 CIN";"3338 ";2;762,52;70
"112";13404827;2023-06-15;453;185;"SETOR 3 - CHAPECO - OESTE - RS";"LP0282        ";"VARILUX LIBERTY ORMA TGEN8 CINZA";"GIOVANA";2;740,24;60
"113";13406192;2023-06-14;129;148;"SETOR 5 - BLUMENAU - VALE";"LD1285        ";"VARILUX COMFORT MAX AIR TGEN8";"BRUNA";2;912,54;70
"114";13406393;2023-06-14;560;NA;"SETOR 2 - CRICIUMA - SUL";"LD1285        ";"VARILUX COMFORT MAX AIR TGEN8";"KAYO";2;953,4;70
"115";13407214;2023-06-13;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1649        ";"KODAK NETWORK UHD 1.50 TGEN8 CINZA";NA;2;427,9;50
"116";13408428;2023-06-13;168;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD0779        ";"VARILUX LIBERTY 360 3.0 ORMA TGEN8 CINZA";"DAIANA";2;802,4;70
"117";13408587;2023-06-13;290;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD1278        ";"VARILUX COMFORT MAX ORM TGEN8 CIN";"GERVASIO";2;855,4;70
"118";13408817;2023-06-15;290;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD0080        ";"VARILUX E DESIGN AIRWEAR TGEN8 CINZA";"GERVASIO";2;1047,9;100
"119";13408842;2023-06-21;453;185;"SETOR 3 - CHAPECO - OESTE - RS";"LP0282        ";"VARILUX LIBERTY ORMA TGEN8 CINZA";"PAMELA";2;740,24;60
"120";13408843;2023-06-16;453;185;"SETOR 3 - CHAPECO - OESTE - RS";"LP0284        ";"VARILUX COMFORT ORMA TGEN8 CINZA";"GIOVANA";2;913,52;60
"121";13409244;2023-06-16;3827;148;"SETOR 5 - BLUMENAU - VALE";"LD1278        ";"VARILUX COMFORT MAX ORM TGEN8 CIN";"3827";2;818,74;70
"122";13410293;2023-06-16;475;NA;"SETOR 5 - BLUMENAU - VALE";"LD1647        ";"KODAK UNIQUE UHD POLY TGEN8 CINZA";"NELSON";2;538,94;50
"123";13410802;2023-06-15;129;148;"SETOR 5 - BLUMENAU - VALE";"LD1278        ";"VARILUX COMFORT MAX ORM TGEN8 CIN";"STEFANIE";2;818,74;70
"124";13410898;2023-06-13;164;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1634        ";"KODAK PRECISE UHD 1.50 TGEN8 CINZA";"ANDRE";2;409,35;50
"125";13412418;2023-06-19;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD0085        ";"VARILUX E DESIGN ORMA TGEN8 CINZA";"BERNARDO";2;799,82;100
"126";13412830;2023-06-16;129;148;"SETOR 5 - BLUMENAU - VALE";"LD1278        ";"VARILUX COMFORT MAX ORM TGEN8 CIN";"BRUNA";2;736,86;70
"127";13413988;2023-06-15;450;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD0526        ";"VARILUX X DESIGN ORMA TGEN8 CINZA";"SONIA";2;1026,27;100
"128";13414019;2023-06-19;450;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD0526        ";"VARILUX X DESIGN ORMA TGEN8 CINZA";"SONIA";2;1026,27;100
"129";13414720;2023-06-14;168;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD0779        ";"VARILUX LIBERTY 360 3.0 ORMA TGEN8 CINZA";"DAIANA";2;802,4;70
"130";13415078;2023-06-15;290;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD0779        ";"VARILUX LIBERTY 360 3.0 ORMA TGEN8 CINZA";"GERVASIO";2;702,1;70
"131";13415303;2023-06-20;654;195;"SETOR 2 - CRICIUMA - SUL";"LD1279        ";"VARILUX COMFORT MAX ORM TGEN8 VER";"KATIANE";2;794,3;70
"132";13417062;2023-06-16;560;NA;"SETOR 2 - CRICIUMA - SUL";"LD0491        ";"VARILUX X DESIGN AIRWEAR TGEN8 CINZA";"KAYO";2;1222,2;100
"133";13417163;2023-06-16;560;NA;"SETOR 2 - CRICIUMA - SUL";"LD0491        ";"VARILUX X DESIGN AIRWEAR TGEN8 CINZA";"KAYO";2;1222,2;100
"134";13419725;2023-06-21;1458;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD1538        ";"ESSILOR EYEZEN START ORMA TGEN8 CINZA";"ISA";2;474,75;50
"135";13420260;2023-06-21;129;148;"SETOR 5 - BLUMENAU - VALE";"LD1278        ";"VARILUX COMFORT MAX ORM TGEN8 CIN";"STEFANIE";2;818,74;70
"136";13422496;2023-06-21;560;NA;"SETOR 2 - CRICIUMA - SUL";"LD1285        ";"VARILUX COMFORT MAX AIR TGEN8";"KAYO";2;953,4;70
"137";13422602;2023-06-20;450;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1649        ";"KODAK NETWORK UHD 1.50 TGEN8 CINZA";"SONIA";2;513,48;50
"138";13423016;2023-06-20;290;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD1649        ";"KODAK NETWORK UHD 1.50 TGEN8 CINZA";"GERVASIO";2;700,2;50
"139";13423474;2023-06-19;1264;NA;"SETOR 5 - BLUMENAU - VALE";"LD1634        ";"KODAK PRECISE UHD 1.50 TGEN8 CINZA";"NATTAHCHA ";2;422,97;50
"140";13423757;2023-06-22;654;195;"SETOR 2 - CRICIUMA - SUL";"LD0779        ";"VARILUX LIBERTY 360 3.0 ORMA TGEN8 CINZA";"ALESSANDRA";2;651,95;70
"141";13423884;2023-06-21;654;195;"SETOR 2 - CRICIUMA - SUL";"LD1278        ";"VARILUX COMFORT MAX ORM TGEN8 CIN";"KATIANE";2;794,3;70
"142";13424175;2023-06-20;654;195;"SETOR 2 - CRICIUMA - SUL";"LD1634        ";"KODAK PRECISE UHD 1.50 TGEN8 CINZA";"RAFAEL LAURENTINO";2;422,97;50
"143";13424818;2023-06-21;4387;37;"SETOR 1 - FLORIANOPOLIS REDES";"LP0282        ";"VARILUX LIBERTY ORMA TGEN8 CINZA";"CINTIA";2;779,2;60
"144";13427335;2023-06-23;1104;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD0080        ";"VARILUX E DESIGN AIRWEAR TGEN8 CINZA";"ELIANE";2;1017,96;100
"145";13427349;2023-06-21;290;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD1634        ";"KODAK PRECISE UHD 1.50 TGEN8 CINZA";"GERVASIO";2;422,97;50
"146";13429212;2023-06-23;1949;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD1285        ";"VARILUX COMFORT MAX AIR TGEN8";"DEBORA";2;953,4;70
"147";13429896;2023-06-22;1104;NA;"SETOR 3 - CHAPECO - OESTE - RS";"T8CSHR+100-050";"LA ORMA TGEN8 CRIZAL SAPPHIRE HR 65MM +100-050/+050+050";"ELIANE";2;418,88;35
"148";13430416;2023-06-23;164;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD0754        ";"VARILUX PHYSIO SHT 360 3.0 ORM TGEN8 CIN BLUE UV";"ANDRE";2;1086,64;70
"149";13431339;2023-06-22;1104;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LP0283        ";"VARILUX COMFORT AIRWEAR TGEN8 CINZA";"ELIANE";2;928,88;60
"150";13433141;2023-06-23;1458;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD1634        ";"KODAK PRECISE UHD 1.50 TGEN8 CINZA";"ISA";2;422,97;50
"151";13434539;2023-06-28;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1285        ";"VARILUX COMFORT MAX AIR TGEN8";"BERNARDO";2;789,96;70
"152";13434600;2023-06-26;475;NA;"SETOR 5 - BLUMENAU - VALE";"LD0525        ";"VARILUX X DESIGN ORMA TGEN8 VERDE";"NELSON";2;1238,04;100
"153";13437678;2023-06-29;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1649        ";"KODAK NETWORK UHD 1.50 TGEN8 CINZA";"BERNARDO";2;412,34;50
"154";13437791;2023-06-28;1949;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD1643        ";"KODAK UNIQUE UHD 1.50 TGEN8 CINZA";"DEBORA";2;581,4;50
"155";13437884;2023-06-27;290;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD0779        ";"VARILUX LIBERTY 360 3.0 ORMA TGEN8 CINZA";"GERVASIO";2;702,1;70
"156";13438511;2023-06-29;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1634        ";"KODAK PRECISE UHD 1.50 TGEN8 CINZA";"BERNARDO";2;360,93;50
"157";13439132;2023-06-30;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1634        ";"KODAK PRECISE UHD 1.50 TGEN8 CINZA";"BERNARDO";2;360,93;50
"158";13440354;2023-06-27;1264;NA;"SETOR 5 - BLUMENAU - VALE";"LD1634        ";"KODAK PRECISE UHD 1.50 TGEN8 CINZA";"NATTAHCHA ";2;422,97;50
"159";13441181;2023-06-29;3827;148;"SETOR 5 - BLUMENAU - VALE";"LD1278        ";"VARILUX COMFORT MAX ORM TGEN8 CIN";"3827";2;818,74;70
"160";13442306;2023-06-30;290;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD0526        ";"VARILUX X DESIGN ORMA TGEN8 CINZA";"GERVASIO";2;1140,3;100
"161";13442387;2023-06-28;1264;NA;"SETOR 5 - BLUMENAU - VALE";"LD1643        ";"KODAK UNIQUE UHD 1.50 TGEN8 CINZA";"NATTAHCHA ";2;641,25;50
"162";13442416;2023-06-29;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1634        ";"KODAK PRECISE UHD 1.50 TGEN8 CINZA";"BERNARDO";2;360,93;50
"163";13443506;2023-06-29;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1649        ";"KODAK NETWORK UHD 1.50 TGEN8 CINZA";"BERNARDO";2;412,34;50
"164";13448981;2023-06-30;1264;NA;"SETOR 5 - BLUMENAU - VALE";"LD1634        ";"KODAK PRECISE UHD 1.50 TGEN8 CINZA";"NATTAHCHA ";2;422,97;50
